nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dzienny Dom Opieki Medycznej we Wrocławiu,,Wrocław,"ul. gen. Romualda Traugutta 57/59,
									50-417
									Wrocław",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),20,26978/KR - 2023,291
Dzienny Dom Opieki Medycznej w Płońsku,,Powiat płoński,"ul. Henryka Sienkiewicza 7,
									09-100
									Płońsk",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),25,26979/KR - 2023,291
Dzienny Dom Opieki Medycznej w Wyszkowie,,Powiat wyszkowski,"ul. Ignacego Daszyńskiego 21 A,
									07-200
									Wyszków",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),25,26980/KR - 2023,291
Dzienny Dom Opieki Medycznej w Drożdżówce,,Powiat miński,"Drożdżówka 5 A,
									05-332
									Siennica",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),25,26981/KR - 2023,291
Dzienny Dom Opieki Medycznej w Siedlcach,,Siedlce,"ul. Księdza Jana Niedziałka 14,
									08-110
									Siedlce",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),307,26982/KR - 2023,291
Dzienny Dom Opieki Medycznej w Garwolinie,,Powiat garwoliński,"ul. Kościuszki 49 J,
									08-400
									Garwolin",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),50,26983/KR - 2023,291
Dzienny Dom Opieki Medycznej w Świnoujściu,,Świnoujście,"ul. Bydgoska 14,
									72-600
									Śwnoujście",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),17,26984/KR - 2023,291
Dzienny Dom Opieki Medycznej w Ostrowcu Świętokrzyskim,,Powiat ostrowiecki,"ul. Okólna 19,
									27-400
									Ostrowiec Świętokrzyski",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),2,26985/KR - 2023,291
Dzienny Dom Opieki Medycznej w Toruniu,,Toruń,"ul. Grunwaldzka 64,
									87-100
									Toruń",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),15,26986/KR - 2023,291
Dzienny Dom Opieki Medycznej w Sochaczewie,,Powiat sochaczewski,"ul. Stefana Żeromskiego 39 A,
									96-500
									Sochaczew",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),20,26987/KR - 2023,292
Dzienny Dom Opieki Medycznej w Brodnicy,,Powiat brodnicki,"ul. Stanisława Wyspiańskiego 2 A,
									87-300
									Brodnica",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),15,26988/KR - 2023,292
Dzienny Dom Opieki Medycznej w Sokołowsku,,Powiat wałbrzyski,"ul. Parkowa 3,
									58-351
									Sokołowsko",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),25,26989/KR - 2023,292
Dzienny Dom Opieki Medycznej w Świebodzicach,,Powiat świdnicki,"ul. Marii Skłodowskiej-Curie 3-7,
									56-180
									Świebodzice",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),14,26990/KR - 2023,292
Dzienny Dom Opieki Medycznej w Lipnie,,Powiat lipnowski,"ul. Dębowa 21,
									87-600
									Lipno",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),15,26991/KR - 2023,292
Dzienny Dom Opieki Medycznej w Skępem,,Powiat lipnowski,"ul. Warszawska 2,
									87-630
									Skępe",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),15,26992/KR - 2023,292
Dzienny Dom Opieki Medycznej w Sycowie,,Powiat oleśnicki,"ul. Oleśnicka 25,
									56-500
									Syców",Dzienna Opieka Medyczna (Dzienny Dom Opieki Medycznej),25,26993/KR - 2023,292
Grand Senior Oaza,,Powiat włocławski,"ul. Ługowicka 1,
									87-850
									Choceń","Dla osób starszych, przewlekle chorych lub osób   niepełnosprawnych (Prywatny)",12,26998/KR - 2023,292
Dom Seniora Pod Dębem,,Powiat ostrołęcki,"ul. Mazurska 20,
									07-401
									Laskowiec","Dla osób starszych, osób  przewlekle chorych lub  osób niepełnosprawnych (Prywatny)",20,27002/KR - 2023,292
Mazurski Dom Seniora Stare Jabłonki,,Powiat ostródzki,"ul. Żurejny 9,
									14-133
									Stare Jabłonki","Dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",59,27011/KR - 2023,293
Rezydencja Seniora Czerwone Wino Dakowy Mokre,,Powiat nowotomyski,"ul. Parkowa 3,
									64-330
									Dakowy Mokre","Dla osób starszych, przewlekle chorych oraz osób niepełnosprawnych (Prywatny)",25,27014/KR - 2023,293
Dom Seniora  Rezydencja Margonin,,Powiat chodzieski,"ul. Powstańców Wielkopolskich 65,
									64-830
									Margonin","Dla osób starszych, przewlekle chorych (Prywatny)",46,27015/KR - 2023,293
Dom Seniora Barwna Jesień Życia Toruń,,Toruń,"ul. Barwna 35,
									87-100
									Toruń","Dla osób starszych, przewlekle chorych lub niepełnosprawnych (Prywatny)",5,27017/KR - 2023,293
Dom Spokojnej Starości Skępe,,Powiat lipnowski,"ul. Warszawska 2,
									87-630
									Skępe","Dla przewlekle chorych, osób w podeszłym wieku oraz dla osób niepełnosprawnych (Prywatny)",36,27019/KR - 2023,293
Zakład Opiekuńczo-Leczniczy Urle,,Powiat wołomiński,"ul. Poniatowskiego 37,
									05-281
									Urle","Dla osób starszych, przewlekle chorych oraz dla osób niepełnosprawnych (Zakład Opiekuńczo - Leczniczy)",60,27021/KR - 2023,293
Dom Spokojnej Starości Nowiny,,Powiat nowodworski,"Nowiny 5,
									05-155
									Leoncin","Dla osób starszych, przewlekle chorych oraz osób niepełnosprawnych (Prywatny)",46,27025/KR - 2023,293
Jesienna Rezydencja Seniora Nowiny,,Powiat nowodworski,"Nowiny 5,
									05-155
									Leoncin","Dla osób starszych, przewlekle chorych lub osób niepełnosprawnych (Prywatny)",77,27026/KR - 2023,293
Dom Pomocy Społecznej WSOLA,,Powiat radomski,"ul. Warszawska 3,
									26-660
									Wsola","Dla osób starszych, przewlekle chorych lub niepełnosprawnych (Publiczny)",49,27027/KR - 2023,293
Dom Opieki Leśny Dworek Jędrzychowice,,Powiat zgorzelecki,"Jędrzychowice 25,
									57-12
									Wiązów","Dla osób starszych, w podeszłym wieku oraz osób niepełnosprawnych (Prywatny)",33,27029/KR - 2023,294
Dom Opieki Korzenno,,Powiat kielecki,"Korzenno 42,
									26-035 
									Raków","Dla osób starszych, przewlekle chorych oraz osób niepełnosprawnych, niezdolnych do samodzielnego funkcjonowania (Prywatny)",41,27031/KR - 2023,294
Środowiskowy Dom Samopomocy Żyrardów,,Powiat żyrardowski,"ul. Armii Krajowej 3 ,
									96-300
									Żyrardów",Dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),25,27891/KR - 2023,294
Środowiskowy Dom Samopomocy Żuromin,,Powiat żuromiński,"ul. Kościuszki 2,
									09-300 
									Żuromin",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),30,27890/KR - 2023,294
Środowiskowy Dom Samopomocy Zrecze Duże,,Powiat kielecki,"ul. Zrecze Duże 22,
									28-020 
									Zrecze Duże",(Środowiskowy Dom Samopomocy),30,27310/KR - 2023,294
Środowiskowy Dom Samopomocy Żnin,,Powiat żniński,"ul. Szpitalna 32,
									88-400 
									Żnin","Środowiskowy Dom Samopomocy typu A,B (Środowiskowy Dom Samopomocy)",35,27889/KR - 2023,294
Środowiskowy Dom Samopomocy Żmigród,,Powiat trzebnicki,"ul. Rybacka 17,
									55-140 
									Żmigród",(Środowiskowy Dom Samopomocy),36,27785/KR - 2023,294
Środowiskowy Dom Samopomocy Złotoryja,,Powiat złotoryjski,"ul. Chrobrego 1,
									59-500
									Złotoryja",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),30,27882/KR - 2023,294
Środowiskowy Dom Samopomocy Złotoryja,,Powiat złotoryjski,"ul. Wojska Polskiego 50,
									59-500 
									Złotoryja",(Środowiskowy Dom Samopomocy),40,27883/KR - 2023,294
Środowiskowy Dom Samopomocy Zielone Centrum Poznań,,Powiat poznański,"ul. Garbary 47,
									61-869 
									Poznań",(Środowiskowy Dom Samopomocy),66,27602/KR - 2023,295
Środowiskowy Dom Samopomocy Zgierz,,Powiat zgierski,"ul. Chełmska 42/42a,
									95-100 
									Zgierz",(Środowiskowy Dom Samopomocy),27,27878/KR - 2023,295
Środowiskowy Dom Samopomocy Żeronice,,Powiat turecki,"ul. Żeronice 23,
									62-730 
									Żeronice",(Środowiskowy Dom Samopomocy),31,27791/KR - 2023,295
Środowiskowy Dom Samopomocy Żerków,,Powiat jarociński,"ul. Dobieszczyzna 55,
									63-210 
									Żerków",(Środowiskowy Dom Samopomocy),36,27268/KR - 2023,295
Środowiskowy Dom Samopomocy Zduńska Wola przy ul. Łaska,,Powiat zduńskowolski,"ul. Łaska 59,
									98-220
									Zduńska Wola",(Środowiskowy Dom Samopomocy),34,27872/KR - 2023,295
Środowiskowy Dom Samopomocy Zduńska Wola przy Dąbrowskiego,,Powiat zduńskowolski,"ul. Dąbrowskiego 15,
									98-220 
									Zduńska Wola",(Środowiskowy Dom Samopomocy),40,27873/KR - 2023,295
Środowiskowy Dom Samopomocy Zawiercie,,Powiat zawierciański,"ul. Krzywa 3,
									42-400 
									Zawiercie",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),52,27870/KR - 2023,295
Środowiskowy Dom Samopomocy Zawichost,,Powiat sandomierski,"ul. Szkolna 8,
									27-630 
									Zawichost",(Środowiskowy Dom Samopomocy),24,27661/KR - 2023,295
Środowiskowy Dom Samopomocy Żary,,Powiat żarski,"ul. Bohaterów Getta 19,
									68-200
									Żary",(Środowiskowy Dom Samopomocy),45,27887/KR - 2023,295
Środowiskowy Dom Samopomocy Żarki,,Powiat myszkowski,"ul. Steinkellera 5,
									42-310 
									Żarki",(Środowiskowy Dom Samopomocy),33,27477/KR - 2023,296
Środowiskowy Dom Samopomocy Zamość,,Powiat zamojski,"ul. Sadowa 51 a,
									22-400
									Zamość",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),25,27867/KR - 2023,296
Środowiskowy Dom Samopomocy Zambrów,,Powiat zambrowski,"ul. Legionowa ,
									18-300
									Zambrów",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),28,27865/KR - 2023,296
Środowiskowy Dom Samopomocy Żalinowo,,Powiat inowrocławski,"ul. Żalinowo 7,
									88-101 
									Żalinowo","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",15,27265/KR - 2023,296
Środowiskowy Dom Samopomocy Zalesie,,Powiat przeworski,"ul. Zalesie 36,
									37-205 
									Zalesie Żurowskie",(Środowiskowy Dom Samopomocy),,27619/KR - 2023,296
Środowiskowy Dom Samopomocy Zagórz,,Powiat sanocki,"ul. Fabryczna 8,
									38-540 
									Zagórz",(Środowiskowy Dom Samopomocy),,27663/KR - 2023,296
Środowiskowy Dom Samopomocy Zaczernie,,Powiat rzeszowski,"ul. Zaczernie 732 B,
									36-062 
									Zaczernie",(Środowiskowy Dom Samopomocy),,27657/KR - 2023,296
Środowiskowy Dom Samopomocy Zabrze,,Zabrze,"ul. Andersa 34,
									41-800
									Zabrze",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),50,27864/KR - 2023,296
Środowiskowy Dom Samopomocy Ząbki,,Powiat wołomiński,"ul. 3-go Maja 14,
									05-09
									Ząbki",Dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),25,27847/KR - 2023,296
Środowiskowy Dom Samopomocy Wyszogród,,Płock,"ul. Niepodległości 5a,
									09-450 
									Wyszogród",Dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),30,27587/KR - 2023,297
Środowiskowy Dom Samopomocy Wyszków,,Powiat wyszkowski,"ul. KEN 2,
									07-200
									Wyszków",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),36,27862/KR - 2023,297
Środowiskowy Dom Samopomocy Wyszków,,Powiat wyszkowski,"ul. Świętojańska 89A,
									07-202
									 Wyszków",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),40,27863/KR - 2023,297
Środowiskowy Dom Samopomocy Wysoka Głogowska,,Powiat rzeszowski,"ul. Wysoka Głogowska 313 a,
									36-061 
									Wysoka Głogowska",(Środowiskowy Dom Samopomocy),,27656/KR - 2023,297
Środowiskowy Dom Samopomocy Wyliny Ruś,,Powiat wysokomazowiecki,"ul. Wyliny Ruś 46 A, 18-210 Wyliny Ruś, podlaskie,
									18-210
									Wyliny Ruś",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),30,27861/KR - 2023,297
Środowiskowy Dom Samopomocy Wygodna Stacja Wielichowo,,Powiat grodziski,"ul. Kościelna 2,
									64-050 
									Wielichowo",(Środowiskowy Dom Samopomocy),20,27246/KR - 2023,297
Środowiskowy Dom Samopomocy Wrzos Bydgoszcz,,Powiat bydgoski,"ul. Janosika 4,
									85-794 
									Bydgoszcz","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",80,27135/KR - 2023,297
Środowiskowy Dom Samopomocy Wrocław CURATUS,,Powiat wrocławski,"ul. Kleczkowska  5,
									50-227 
									Wrocław",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),25,27852/KR - 2023,297
Środowiskowy Dom Samopomocy Wrocław,,Powiat wrocławski,"ul. Okulickiego 2,
									 51-216
									Wrocław",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),35,27855/KR - 2023,297
Środowiskowy Dom Samopomocy Wrocław,,Powiat wrocławski,"ul. Kiełczowska 43/6,
									51-315
									Wrocław",(Środowiskowy Dom Samopomocy),24,27856/KR - 2023,298
Środowiskowy Dom Samopomocy Wrocław,,Powiat wrocławski,"ul. Szkolna 11,
									54-007 
									 Wrocław",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),55,27857/KR - 2023,298
Środowiskowy Dom Samopomocy Wonorze,,Powiat inowrocławski,"ul. Wonorze 36,
									88-133 
									Wonorze","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",25,27264/KR - 2023,298
Środowiskowy Dom Samopomocy Wołomin,,Powiat wołomiński,"ul. Mieszka I 1,
									05-200
									Wołomin",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27846/KR - 2023,298
Środowiskowy Dom Samopomocy Woliczka,,Powiat rzeszowski,"ul. Woliczka 64,
									36-071
									Woliczka",(Środowiskowy Dom Samopomocy),,27655/KR - 2023,298
Środowiskowy Dom Samopomocy Wolica,,Powiat sanocki,"ul. Wolica 9,
									38-505 
									Wolica",(Środowiskowy Dom Samopomocy),,27662/KR - 2023,298
Środowiskowy Dom Samopomocy Wola Zbrożkowa,,Powiat zgierski,"ul. Wola Zbrożkowa 36,
									95-015 
									Wola Zbrożkowa",(Środowiskowy Dom Samopomocy),60,27877/KR - 2023,298
Środowiskowy Dom Samopomocy Wola Raniżowska,,Powiat kolbuszowski,"ul. Wola Raniżowska 586,
									36-130 
									Wola Raniżowska",(Środowiskowy Dom Samopomocy),,27319/KR - 2023,298
Środowiskowy Dom Samopomocy Wola Jachowa,,Powiat kielecki,"ul. Wola Jachowa 136,
									26-008 
									Wola Jachowa",(Środowiskowy Dom Samopomocy),25,27309/KR - 2023,298
Środowiskowy Dom Samopomocy Wodzisław Śląski/Powiatowy Ośrodek Wsparcia PERŁA,,Powiat wodzisławski,"ul. Bogumińska 15,
									44-300 
									Wodzisław Śląski",(Środowiskowy Dom Samopomocy),30,27843/KR - 2023,299
Środowiskowy Dom Samopomocy Włoszczowa,,Powiat włoszczowski,"ul. Os. Broniewskiego 7a,
									29-100
									Włoszczowa",(Środowiskowy Dom Samopomocy),25,27841/KR - 2023,299
Środowiskowy Dom Samopomocy Włocławek,,Powiat włocławski,"ul. Zapiecek 5,
									87-800 
									Włocławek","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",40,27840/KR - 2023,299
Środowiskowy Dom Samopomocy Witnica,,Powiat gorzowski,"ul. Strzelecka 1,
									66-460 
									Witnica",(Środowiskowy Dom Samopomocy),35,27239/KR - 2023,299
Środowiskowy Dom Samopomocy Wilcza Wola,,Powiat kolbuszowski,"ul. Wilcza Wola 29 A,
									36-121
									Wilcza Wola",(Środowiskowy Dom Samopomocy),,27318/KR - 2023,299
Środowiskowy Dom Samopomocy Wieluń,,Powiat wieluński,"ul. Traugutta 40,
									98-300 
									Wieluń",(Środowiskowy Dom Samopomocy),40,27835/KR - 2023,299
Środowiskowy Dom Samopomocy Wiele,,Powiat kościerski,"ul. Derdowskiego 1,
									81-441 
									Wiele",(Środowiskowy Dom Samopomocy),20,27346/KR - 2023,299
Środowiskowy Dom Samopomocy Wena Leszno,,Powiat leszczyński,"ul. Starozamkowa 14a,
									64-100 
									Leszno",(Środowiskowy Dom Samopomocy),22,27389/KR - 2023,299
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Wilcza 9a,
									00-538 
									Warszawa",Dla osób  z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),25,27803/KR - 2023,299
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Żytnia 75/77,
									01-149 
									Warszawa",Dla osób przewlekle psychicznie chorych oraz osób wykazujących inne przewlekłe zaburzenia czynności psychicznych (Środowiskowy Dom Samopomocy),45,27805/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Odolańska 6/8,
									02-560 
									Warszawa",Dla osób ze spektrum autyzmu lub niepełnosprawnościami sprzężonymi (Środowiskowy Dom Samopomocy),12,27810/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Przyczółkowa 27A,
									02-968
									Warszawa",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),52,27812/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"Jagiellońska 54,
									03-844 
									Warszawa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),45,27814/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Grochowska 259a,
									03-844 
									Warszawa",Dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),45,27815/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Zalipie 17,
									04-612 
									Warszawa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),27,27816/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. VI Poprzeczna 23 ,
									04-614 
									Warszawa",Dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),25,27817/KR - 2023,300
Środowiskowy Dom Samopomocy Wałcz,,Powiat wałecki,"ul. Nowomiejska 4,
									78-600 
									Wałcz",(Środowiskowy Dom Samopomocy),35,27800/KR - 2023,300
Środowiskowy Dom Samopomocy Wałbrzych,,Powiat wałbrzyski,"ul. Miłosza 15 a,
									58-309 
									Wałbrzych",(Środowiskowy Dom Samopomocy),40,27799/KR - 2023,300
Środowiskowy Dom Samopomocy Wągrowiec,,Powiat wągrowiecki,"ul. Piaskowa 6,
									62-100 
									Wągrowiec",(Środowiskowy Dom Samopomocy),30,27822/KR - 2023,301
Środowiskowy Dom Samopomocy Wąbrzeźno,,Powiat wąbrzeski,"ul. Wronie 1,
									87-200 
									Wąbrzeźno","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",60,27819/KR - 2023,301
Środowiskowy Dom Samopomocy w Więcborku. Więcbork,,Powiat sępoleński,"ul. Pocztowa 16,
									89-410 
									Więcbork","Środowiskowy Dom Samopomocy typu A,B (Środowiskowy Dom Samopomocy)",40,27665/KR - 2023,301
Środowiskowy Dom Samopomocy w Walewicach. Walewice,,Powiat łowicki,"ul. Walewice 42,
									97-425 
									Walewice",(Środowiskowy Dom Samopomocy),60,27438/KR - 2023,301
Środowiskowy Dom Samopomocy w Trzcielu Trzciel,,Powiat międzyrzecki,"ul. Plac Zjednoczenia Narodów 9,
									66-300 
									Trzciel",(Środowiskowy Dom Samopomocy),25,27461/KR - 2023,301
Środowiskowy Dom Samopomocy w Świeciu. Świecie,,Powiat świecki,"ul. Sądowa 18,
									86-100 
									Świecie","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",33,27752/KR - 2023,301
Środowiskowy Dom Samopomocy w Świebodzinie Świebodzin,,Powiat świebodziński,"ul. Pl. Wolności 14,
									66-200 
									Świebodzin",(Środowiskowy Dom Samopomocy),20,27750/KR - 2023,301
Środowiskowy Dom Samopomocy w Sulęcinie Sulęcin,,Powiat sulęciński,"ul. Żeromskiego 71,
									69-200 
									Sulęcin",(Środowiskowy Dom Samopomocy),20,27720/KR - 2023,301
Środowiskowy Dom Samopomocy w Strzelnie. Strzelno,,Powiat mogileński,"ul. Kolejowa 5,
									88-320 
									Strzelno","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",35,27469/KR - 2023,301
Środowiskowy Dom Samopomocy w Strzelcach Krajeńskich Strzelce Krajeńskie,,Powiat strzelecko-drezdenecki,"ul. Kościuszki 5,
									69-210 
									Strzelce Krajeńskie",(Środowiskowy Dom Samopomocy),25,27715/KR - 2023,302
Środowiskowy Dom Samopomocy w Starym Kurowie Stare Kurowo,,Powiat strzelecko-drezdenecki,"ul. Kościuszki 77/4,
									66-540 
									Stare Kurowo",(Środowiskowy Dom Samopomocy),27,27714/KR - 2023,302
Środowiskowy Dom Samopomocy w Środzie Śląskiej Środa Śląska,,Powiat średzki,"ul. Kilińskiego 28,
									55-300 
									Środa Śląska",(Środowiskowy Dom Samopomocy),33,27742/KR - 2023,302
Środowiskowy Dom Samopomocy w Rypinie Rypin,,Powiat rypiński,"ul. Tadeusza Kościuszki 17,
									87-500 
									Rypin","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",43,27648/KR - 2023,302
Środowiskowy Dom Samopomocy w Radziejowie Radziejów,,Powiat radziejowski,"ul. Kościuszki 58,
									88-200 
									Radziejów","Środowiskowy Dom Samopomocy typu A,B (Środowiskowy Dom Samopomocy)",40,27638/KR - 2023,302
Środowiskowy Dom Samopomocy w Puszczykowie Puszczykowo,,Powiat poznański,"ul. Dworcowa 16,
									62-041 
									Puszczykowo",(Środowiskowy Dom Samopomocy),25,27603/KR - 2023,302
Środowiskowy Dom Samopomocy w Pszczewie Pszczew,,Powiat międzyrzecki,"ul. Pl.Zamielno 4,
									66-300 
									Pszczew",(Środowiskowy Dom Samopomocy),30,27460/KR - 2023,302
Środowiskowy Dom Samopomocy w Paterku Paterek,,Powiat nakielski,"ul. Wyzwolenia 13,
									89-100 
									Paterek","Środowiskowy Dom Samopomocy typu A,B (Środowiskowy Dom Samopomocy)",30,27485/KR - 2023,302
Środowiskowy Dom Samopomocy w Nowej Soli Nowa Sól,,Powiat nowosolakski,"ul. Kasprowicza 12,
									67-100 
									Nowa Sól",(Środowiskowy Dom Samopomocy),30,27500/KR - 2023,302
Środowiskowy Dom Samopomocy w Międzyrzeczu Międzyrzecz,,Powiat międzyrzecki,"ul. M. Mikuły 1,
									66-300 
									Międzyrzecz",(Środowiskowy Dom Samopomocy),23,27459/KR - 2023,303
Środowiskowy Dom Samopomocy w Krzyszczynce Krzyszczynka,,Powiat gorzowski,"ul. Krzyszczynka 7a,
									66-450 
									Krzyszczynka",(Środowiskowy Dom Samopomocy),25,27237/KR - 2023,303
Środowiskowy Dom Samopomocy w Kruszynie Kruszyna,,Powiat zielonogórski,"ul. Kruszyna 53a,
									66-100
									 Kruszyna",(Środowiskowy Dom Samopomocy),30,27879/KR - 2023,303
Środowiskowy Dom Samopomocy w Kolonii Raduckiej. Kolonia Raducka,,Powiat wieluński,"ul. Kolonia Raducka 41,
									98-320 
									Kolonia Raducka",(Środowiskowy Dom Samopomocy),30,27831/KR - 2023,303
Środowiskowy Dom Samopomocy w Kąkolewie Kąkolewo,,Powiat leszczyński,"ul. Krzywińska 10A,
									64-113 
									Kąkolewo",(Środowiskowy Dom Samopomocy),30,27387/KR - 2023,303
Środowiskowy Dom Samopomocy w Justynowie. Justynów,,Powiat łódzki wschodni,"ul. Łódzka 35,
									95-020 
									Justynów",(Środowiskowy Dom Samopomocy),25,27439/KR - 2023,303
Środowiskowy Dom Samopomocy w Jaworznie,,Jaworzno,"ul. Szczakowska 45,
									43-602 
									Jaworzno",(Środowiskowy Dom Samopomocy),60,27275/KR - 2023,303
Środowiskowy Dom Samopomocy w Golubiu-Dobrzyniu. Golub-Dobrzyń,,Powiat golubsko-dobrzyński,"ul. Równinna 5,
									87-400 
									Golub-Dobrzyń","Środowiskowy Dom Samopomocy typu A,B,C,D (Środowiskowy Dom Samopomocy)",45,27225/KR - 2023,303
Środowiskowy Dom Samopomocy w Gliwicach,,Powiat gliwicki,"ul. Sikorskiego 134,
									44-103 
									Gliwice",(Środowiskowy Dom Samopomocy),52,27215/KR - 2023,303
Środowiskowy Dom Samopomocy w Gądeczu. Gądecz,,Powiat bydgoski,"ul. Gądecz 33,
									86-022 
									Gądecz","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",54,27139/KR - 2023,304
Środowiskowy Dom Samopomocy w Drezdenku Drezdenko,,Powiat strzelecko-drezdenecki,"ul. Marszałkowska 18,
									66-500 
									Drezdenko",(Środowiskowy Dom Samopomocy),30,27713/KR - 2023,304
Środowiskowy Dom Samopomocy w Dobiegniewie Dobiegniew,,Powiat strzelecko-drezdenecki,"ul. Leśna 3,
									66 -520
									Dobiegniew",(Środowiskowy Dom Samopomocy),18,27712/KR - 2023,304
Środowiskowy Dom Samopomocy w Dąbrowie Górniczej,,Dąbrowa Górnicza,"ul. Morcinka 15,
									41-303 
									Dąbrowa Górnicza",(Środowiskowy Dom Samopomocy),80,27167/KR - 2023,304
Środowiskowy Dom Samopomocy w Dąbrówce Królewskiej. Dąbrówka Królewska,,Powiat grudziądzki,"ul. Dąbrówka Królewska 1,
									86-330 
									Dąbrówka Królewska","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",35,27248/KR - 2023,304
Środowiskowy Dom Samopomocy w Czarnem Baruchowo,,Powiat włocławski,"ul. Czarne 11,
									87-821 
									Baruchowo",Środowiskowy Dom Samopomocy (Środowiskowy Dom Samopomocy),20,27838/KR - 2023,304
Środowiskowy Dom Samopomocy w Chełmży. Chełmża,,Powiat toruński,"ul. Hallera 25,
									87-140 
									Chełmża","Środowiskowy Dom Samopomocy typu A,B,C (Środowiskowy Dom Samopomocy)",50,27782/KR - 2023,304
Środowiskowy Dom Samopomocy w Brzozowcu Brzozowiec,,Powiat gorzowski,"ul. Szkolna 13,
									66-446 
									Brzozowiec",(Środowiskowy Dom Samopomocy),32,27232/KR - 2023,304
Środowiskowy Dom Samopomocy w Brodnicy Brodnica,,Powiat brodnicki,"ul. Gajdy 3,
									87-300 
									Brodnica","Środowiskowy Dom Samopomocy typu A,B (Środowiskowy Dom Samopomocy)",50,27121/KR - 2023,304
Środowiskowy Dom Samopomocy Ustrzyki Dolne,,Powiat bieszczadzki,"ul. Wyzwolenia 7,
									38-700 
									Ustrzyki Dolne",(Środowiskowy Dom Samopomocy),,27107/KR - 2023,305
